iter	Passed	Remaining
0	57	56955
1	57	28575
2	57	19108
3	57	14383
4	58	11546
5	58	9647
6	58	8290
7	58	7280
8	58	6491
9	59	5857
10	59	5336
11	59	4903
12	59	4536
13	59	4222
14	60	3951
15	60	3714
16	60	3503
17	60	3317
18	61	3150
19	61	3000
20	61	2863
21	61	2739
22	61	2626
23	62	2522
24	62	2426
25	62	2337
26	62	2256
27	62	2179
28	63	2110
29	63	2045
30	63	1983
31	63	1925
32	63	1870
33	64	1819
34	64	1772
35	64	1727
36	64	1684
37	64	1643
38	65	1603
39	65	1566
40	65	1531
41	65	1498
42	65	1466
43	66	1435
44	66	1406
45	66	1378
46	66	1352
47	66	1326
48	67	1302
49	67	1278
50	67	1256
51	67	1233
52	67	1213
53	68	1193
54	68	1173
55	68	1154
56	68	1136
57	68	1118
58	69	1101
59	69	1084
60	69	1068
61	69	1053
62	69	1038
63	70	1024
64	70	1010
65	70	996
66	70	983
67	70	969
68	70	957
69	71	944
70	71	933
71	71	922
72	71	911
73	71	900
74	72	890
75	72	880
76	72	870
77	72	860
78	72	850
79	73	841
80	73	833
81	73	824
82	73	815
83	73	806
84	74	797
85	74	789
86	74	780
87	74	772
88	74	765
89	74	757
90	75	750
91	75	744
92	75	737
93	75	730
94	76	724
95	76	717
96	76	711
97	76	705
98	76	698
99	76	692
100	77	686
101	77	679
102	77	674
103	77	668
104	77	663
105	78	658
106	78	653
107	78	647
108	78	643
109	78	638
110	79	633
111	79	628
112	79	623
113	79	618
114	79	614
115	79	609
116	80	604
117	80	600
118	80	595
119	80	591
120	80	587
121	81	583
122	81	578
123	81	574
124	81	570
125	81	566
126	81	562
127	81	558
128	82	554
129	82	550
130	82	547
131	82	543
132	82	540
133	83	536
134	83	533
135	83	530
136	83	527
137	83	523
138	84	520
139	84	517
140	84	514
141	84	511
142	84	508
143	85	505
144	85	502
145	85	499
146	85	497
147	85	494
148	86	491
149	86	488
150	86	486
151	86	483
152	86	480
153	87	478
154	87	475
155	87	472
156	87	470
157	87	467
158	87	465
159	88	462
160	88	460
161	88	458
162	88	455
163	89	453
164	89	451
165	89	449
166	89	447
167	89	444
168	90	442
169	90	440
170	90	438
171	90	436
172	90	434
173	91	432
174	91	430
175	91	428
176	91	426
177	91	424
178	92	422
179	92	420
180	92	417
181	92	415
182	92	413
183	92	411
184	93	410
185	93	408
186	93	406
187	93	404
188	93	402
189	94	400
190	94	399
191	94	397
192	94	395
193	94	393
194	95	392
195	95	390
196	95	388
197	95	387
198	95	385
199	95	383
200	96	382
201	96	380
202	96	378
203	96	377
204	96	375
205	97	374
206	97	372
207	97	371
208	97	369
209	97	368
210	98	366
211	98	365
212	98	363
213	98	362
214	98	360
215	99	359
216	99	358
217	99	356
218	99	355
219	99	353
220	100	352
221	100	351
222	100	349
223	100	348
224	100	347
225	101	346
226	101	344
227	101	343
228	101	342
229	101	340
230	102	339
231	102	338
232	102	337
233	102	335
234	102	334
235	102	333
236	103	332
237	103	330
238	103	329
239	103	328
240	103	327
241	104	326
242	104	325
243	104	323
244	104	322
245	104	321
246	105	320
247	105	319
248	105	318
249	105	316
250	105	315
251	106	314
252	106	313
253	106	312
254	106	311
255	106	310
256	107	309
257	107	308
258	107	307
259	107	306
260	107	305
261	107	304
262	108	303
263	108	302
264	108	301
265	108	300
266	108	299
267	109	298
268	109	297
269	109	296
270	109	295
271	109	294
272	110	293
273	110	292
274	110	291
275	110	290
276	110	289
277	111	288
278	111	287
279	111	286
280	111	285
281	111	284
282	112	283
283	112	282
284	112	282
285	112	281
286	112	280
287	113	279
288	113	278
289	113	277
290	113	276
291	113	275
292	113	275
293	114	274
294	114	273
295	114	272
296	114	271
297	114	270
298	115	269
299	115	269
300	115	268
301	115	267
302	115	266
303	116	265
304	116	265
305	116	264
306	116	263
307	116	262
308	117	261
309	117	261
310	117	260
311	117	259
312	117	258
313	118	258
314	118	257
315	118	256
316	118	255
317	118	254
318	119	254
319	119	253
320	119	252
321	119	252
322	119	251
323	120	250
324	120	249
325	120	249
326	120	248
327	120	247
328	121	246
329	121	246
330	121	245
331	121	244
