iter	Passed	Remaining
0	57	57489
1	57	28854
2	58	19317
3	58	14538
4	58	11665
5	58	9757
6	59	8386
7	59	7355
8	59	6557
9	59	5917
10	60	5395
11	60	4960
12	60	4592
13	60	4276
14	60	4003
15	61	3762
16	61	3549
17	61	3363
18	61	3195
19	62	3044
20	62	2907
21	62	2784
22	62	2669
23	63	2565
24	63	2469
25	63	2379
26	63	2297
27	64	2221
28	64	2151
29	64	2084
30	64	2021
31	64	1964
32	65	1909
33	65	1856
34	65	1807
35	65	1761
36	65	1717
37	66	1675
38	66	1636
39	66	1600
40	66	1564
41	67	1530
42	67	1498
43	67	1467
44	67	1437
45	67	1409
46	68	1382
47	68	1356
48	68	1331
49	68	1308
50	69	1285
51	69	1263
52	69	1242
53	69	1222
54	69	1202
55	70	1183
56	70	1165
57	70	1147
58	70	1130
59	71	1113
60	71	1098
61	71	1082
62	71	1070
63	72	1056
64	72	1042
65	72	1029
66	72	1015
67	73	1002
68	73	989
69	73	977
70	73	965
71	73	953
72	74	942
73	74	931
74	74	920
75	74	910
76	75	900
77	75	890
78	75	880
79	75	870
80	75	861
81	76	852
82	76	843
83	76	834
84	76	825
85	76	817
86	77	809
87	77	801
88	77	793
89	77	786
90	77	779
91	78	771
92	78	764
93	78	757
94	78	750
95	79	744
96	79	738
97	79	731
98	79	725
99	79	719
100	80	712
101	80	707
102	80	701
103	80	695
104	80	690
105	81	684
106	81	679
107	81	675
108	82	670
109	82	665
110	82	660
111	82	655
112	82	650
113	83	645
114	83	641
115	83	636
116	83	631
117	83	627
118	84	622
119	84	618
120	84	614
121	84	609
122	84	606
123	85	601
124	85	597
125	85	594
126	85	589
127	86	586
128	86	587
129	87	584
130	87	581
131	87	577
132	88	573
133	88	570
134	88	566
135	88	562
136	88	559
137	89	555
138	89	552
139	89	549
140	89	546
141	89	542
142	90	539
143	90	537
144	90	534
145	90	531
146	91	528
147	91	525
148	91	522
149	91	519
150	91	516
151	92	513
152	92	510
153	92	508
154	92	505
155	92	502
156	93	499
157	93	497
158	93	494
159	93	492
160	93	489
161	94	486
162	94	484
163	94	482
164	94	479
165	95	477
166	95	475
167	95	473
168	95	470
169	96	468
170	96	466
171	96	464
172	96	463
173	97	461
174	97	459
175	97	456
176	97	454
177	98	453
178	98	450
179	98	448
180	98	447
181	99	444
182	99	442
183	99	440
184	99	438
185	99	436
186	99	434
187	100	432
188	100	430
189	100	428
190	100	427
191	101	425
192	101	423
193	101	421
194	101	420
195	102	419
196	102	417
197	102	415
198	103	416
199	103	415
200	104	413
201	104	412
202	104	410
203	104	408
204	104	407
205	105	405
206	105	404
207	106	405
208	106	404
209	107	402
210	107	400
211	107	399
212	107	397
213	107	396
214	108	394
215	108	393
216	108	391
217	108	390
218	109	389
219	109	387
220	109	386
221	109	384
222	110	383
223	110	382
224	110	381
225	111	380
226	111	379
227	111	377
228	111	376
229	112	375
230	112	373
231	112	372
232	112	371
233	113	370
234	113	369
235	113	368
236	113	366
237	114	365
238	114	364
239	114	363
240	114	361
241	115	360
242	115	359
243	115	358
244	115	356
245	116	355
246	116	354
247	116	353
248	116	352
249	116	350
250	117	349
251	117	348
252	117	347
253	117	346
254	118	345
255	118	343
256	118	342
257	118	341
258	119	340
259	119	339
260	119	338
261	119	337
262	119	336
263	120	335
264	120	334
265	120	332
266	120	332
267	121	331
268	121	330
269	121	329
270	122	328
271	122	327
272	122	326
273	122	325
274	122	324
275	123	322
276	123	321
277	123	320
278	123	319
279	124	319
280	124	317
281	124	317
282	124	315
283	124	314
284	125	314
285	125	313
286	125	312
287	126	311
288	126	310
289	126	309
290	126	309
291	127	308
292	127	307
293	127	306
294	127	305
295	128	305
296	128	304
297	128	303
298	129	302
299	129	301
300	129	301
301	129	300
302	130	299
303	130	298
304	130	297
305	130	296
306	130	295
307	131	294
308	131	293
309	131	292
310	131	291
311	132	291
312	132	290
313	132	289
314	132	288
315	132	287
316	133	286
317	133	286
318	133	285
319	133	284
320	134	283
321	134	282
322	134	282
323	134	281
324	135	280
325	135	279
326	135	279
327	135	278
328	136	277
329	136	276
330	136	276
331	136	275
332	137	274
333	137	273
334	137	272
335	137	272
336	137	271
337	138	270
338	138	269
339	138	268
340	138	268
341	138	267
342	139	266
343	139	266
344	139	265
345	139	264
346	140	263
347	140	263
348	140	262
349	140	261
350	141	261
351	141	260
352	141	259
353	141	259
354	142	258
355	142	257
356	142	257
357	142	256
358	143	255
359	143	255
360	143	254
361	144	253
362	144	253
